customer_id,age,marital_status,education_level,department,employment_type,job_level,years_of_experience,years_at_company,city_tier,number_of_dependents,monthly_income_inr,household_monthly_income_inr,housing_status,rent_or_emi_inr,food_expense_inr,utilities_expense_inr,transport_expense_inr,healthcare_expense_inr,education_expense_inr,discretionary_expense_inr,total_monthly_expenses_inr,monthly_savings_inr,savings_rate_pct,loan_count,monthly_debt_payment_inr,total_debt_inr,debt_to_income_ratio_pct,credit_card_utilization_pct,credit_score,missed_payment_count_12m,late_bill_payment_count_12m,unexpected_expense_inr_12m,liquid_assets_inr,emergency_fund_months,investment_amount_inr,retirement_contribution_pct,insurance_coverage,financial_product_count,budgeting_frequency,expense_tracking_frequency,financial_literacy_score,financial_goal_clarity_score,financial_planning_horizon_months,impulse_spending_score,risk_tolerance_level,digital_finance_usage_score,payment_behavior_score,income_stability_score,job_security_perception_score,recent_income_shock,family_financial_support,financial_advisor_access,sleep_disruption_days_per_month,productivity_impact_score,finance_related_absence_days_12m,financial_wellness_program_participation,preferred_financial_support_channel,target_financial_wellbeing_category,monthly_surplus_inr,surplus_rate_pct,age_band,income_band,debt_band,emergency_fund_band
EMP-04280,28,Married,Master,Human Resources,Permanent,Entry,1,1,Tier 3,2,43266.28,78690.47,Rented,4823.25,7032.91,3022.24,800.0,2922.55,3273.76,8705.18,30790.76,44308.87,56.31,0,210.87,12431.68,0.27,28.66,697,0,1,24415.07,313300.08,14.19,290513.59,13.28,Basic,5,Occasionally,Daily,8,6,22,5,Moderate,7,9,10,9,Yes,Unavailable,No,0,1,1,Yes,Group Workshop,Financially Secure,47899.71000000001,60.87,21-29,Low,Low,More than 6 months
EMP-02399,31,Single,Master,Operations,Permanent,Mid-Level,12,12,Tier 1,0,93283.15,93740.63,Owned,20138.68,9584.05,4061.6,8048.47,2871.59,0.0,18265.98,72460.88,17821.33,19.01,1,9490.51,500622.41,10.12,69.06,692,0,0,31605.46,214213.74,3.95,132233.22,7.21,None listed,5,Weekly,Rarely,7,7,44,8,Moderate,4,9,6,7,No,Available,No,1,3,1,No,Digital Learning,Financially At-Risk,21279.75,22.7,30-39,Medium,High,3-6 months
EMP-05713,40,Single,Master,Marketing,Permanent,Mid-Level,18,1,Tier 1,2,84408.7,90819.24,Rented,16796.4,14822.01,4374.58,6254.25,3585.7,2954.68,10427.55,68731.95,20630.79,22.72,4,9516.78,881111.69,10.48,40.45,669,1,4,14101.9,80246.62,1.38,62809.0,4.68,None listed,2,Weekly,Rarely,4,4,19,5,Moderate,7,8,9,3,No,Available,No,1,4,1,Yes,Digital Learning,Financially At-Risk,22087.290000000008,24.32,40-49,Medium,High,1-3 months
EMP-03255,34,Single,Diploma,Marketing,Permanent,Mid-Level,13,3,Tier 3,1,82615.94,86772.73,Rented,6937.77,6251.26,3453.6,2857.79,3838.89,1172.72,7699.99,32212.02,56267.63,64.84,0,0.0,0.0,0.0,15.89,818,0,0,14086.84,239432.94,9.77,917921.14,6.79,Basic,5,Weekly,Weekly,5,2,17,7,Moderate,5,9,6,9,Yes,Limited,No,0,1,0,No,One-to-One Counseling,Moderately Stable,54560.70999999999,62.88,30-39,Medium,Low,More than 6 months
EMP-06027,38,Married,Bachelor,Finance,Permanent,Mid-Level,14,4,Tier 3,2,77248.47,79235.07,Owned,12597.62,8967.46,3554.12,7903.05,7474.18,8445.18,9937.18,76889.97,5935.6,7.49,2,18011.18,1178230.02,22.73,45.78,650,2,3,18934.12,50010.46,0.75,66122.47,10.22,Basic,4,Monthly,Monthly,5,6,24,4,High,6,8,9,9,No,Unavailable,Yes,2,4,0,Yes,Group Workshop,Financially At-Risk,2345.100000000006,2.96,30-39,Low,High,Less than 1 month
EMP-02265,41,Divorced,Bachelor,Sales,Permanent,Senior,20,16,Tier 2,1,103133.92,104043.7,Rented,10753.53,7250.15,5042.64,5040.55,3036.45,2471.71,7653.44,42822.18,63184.25,60.73,0,1573.71,29811.37,1.51,43.5,738,0,0,48734.74,364462.06,10.36,1016190.84,11.6,Comprehensive,6,Weekly,Never,7,4,31,6,Low,5,8,10,8,No,Unavailable,No,0,2,1,Yes,Self-Help Resources,Moderately Stable,61221.52,58.84,40-49,Medium,Low,More than 6 months
EMP-01942,38,Divorced,Bachelor,Information Technology,Permanent,Senior,18,14,Tier 3,0,104452.29,110433.33,Rented,12757.45,6354.01,1479.14,2122.69,3647.87,0.0,9292.22,36175.98,70582.96,63.91,0,522.6,10572.86,0.47,3.29,813,0,2,33676.85,390445.75,14.52,1497128.89,7.02,Basic,5,Occasionally,Monthly,5,7,22,7,Low,10,9,8,8,No,Limited,No,0,1,0,No,Digital Learning,Moderately Stable,74257.35,67.24,30-39,Medium,Low,More than 6 months
EMP-00764,43,Married,Bachelor,Information Technology,Permanent,Senior,24,10,Tier 1,2,117128.9,161659.05,Owned,19488.72,9634.48,5827.78,7470.72,5338.83,4814.99,15437.36,77631.66,81993.71,50.72,1,9618.78,221468.44,5.95,52.28,659,0,1,24629.64,969775.64,15.59,1096927.17,6.01,Basic,6,Monthly,Rarely,4,3,22,6,Low,6,7,8,5,No,Unavailable,No,0,2,0,No,Group Workshop,Moderately Stable,84027.38999999998,51.98,40-49,High,Medium,More than 6 months
EMP-03177,45,Single,Bachelor,Marketing,Permanent,Leadership,24,15,Tier 3,0,117875.25,119559.81,Rented,11577.37,3543.67,1435.89,5170.86,4328.22,0.0,5580.33,31636.34,90081.58,75.0,0,0.0,0.0,0.0,0.0,789,0,0,9473.38,349265.26,13.4,1932908.79,12.3,None listed,4,Occasionally,Daily,7,9,42,1,Low,8,9,7,10,No,Available,Yes,0,2,1,No,Self-Help Resources,Financially Secure,87923.47,73.54,40-49,High,Low,More than 6 months
EMP-03046,34,Single,Master,Sales,Permanent,Junior,8,2,Tier 1,0,86786.12,87865.69,Owned,17146.93,9684.74,5337.58,5939.45,2346.34,0.0,10262.72,54728.44,33925.34,38.61,1,4010.68,314174.87,4.56,51.46,674,0,2,17267.24,153616.27,3.45,158826.59,10.35,Basic,6,Monthly,Weekly,8,8,20,5,High,7,9,8,6,No,Limited,No,0,1,0,No,One-to-One Counseling,Financially Secure,33137.25,37.71,30-39,Medium,Medium,3-6 months
EMP-03065,34,Married,Higher Secondary,Sales,Permanent,Junior,10,6,Tier 2,0,44573.88,56975.5,Rented,9616.17,6384.37,2137.75,5191.95,3117.73,0.0,5428.24,31876.21,24296.07,42.64,0,0.0,0.0,0.0,48.63,692,0,2,2360.69,193511.99,7.32,98795.51,8.31,Comprehensive,4,Weekly,Monthly,2,6,31,6,Low,7,8,8,6,Yes,Limited,No,1,2,1,No,Group Workshop,Financially At-Risk,25099.29,44.05,30-39,Low,Low,More than 6 months
EMP-00102,49,Married,Bachelor,Sales,Permanent,Leadership,27,0,Tier 1,3,116291.46,139699.6,Owned,12967.54,15425.85,5739.06,9091.5,9462.35,4777.78,17649.62,82935.54,53426.31,38.24,0,7821.84,477607.92,5.6,17.46,713,0,0,19072.59,150072.4,2.3,568331.73,4.81,Basic,5,Monthly,Rarely,5,6,43,5,High,7,9,10,8,Yes,Limited,No,0,1,0,Yes,Digital Learning,Financially At-Risk,56764.06000000001,40.63,40-49,High,High,1-3 months
EMP-06238,25,Single,Master,Marketing,Contract,Entry,0,0,Tier 1,0,40749.69,50175.82,Rented,11366.74,6370.37,2368.07,3289.53,4531.55,0.0,1000.0,28926.26,14849.51,29.59,0,0.0,0.0,0.0,0.0,759,0,0,16975.86,161512.9,5.78,245742.96,13.21,Basic,5,Monthly,Monthly,5,4,13,4,Low,9,10,4,6,No,Available,Yes,0,1,1,No,Digital Learning,Moderately Stable,21249.56,42.35,21-29,Low,Low,3-6 months
EMP-01372,44,Married,Master,Human Resources,Permanent,Leadership,26,9,Tier 2,1,134385.42,149951.72,Rented,14095.16,4280.75,3858.65,4310.93,4148.27,2821.25,16834.55,56142.84,91140.79,60.78,2,5793.28,411295.83,3.86,21.7,652,0,1,23316.96,1029189.76,24.0,1928554.26,7.58,Basic,5,Weekly,Rarely,7,10,49,5,Low,5,10,8,9,No,Limited,No,0,2,2,Yes,Self-Help Resources,Financially Secure,93808.88,62.56,40-49,High,High,More than 6 months
EMP-00626,32,Single,Master,Marketing,Permanent,Mid-Level,10,7,Tier 1,0,88443.4,91230.48,Owned,12867.59,9008.45,3049.63,6894.36,2590.86,0.0,10764.69,53822.27,33139.03,36.32,0,8646.69,423782.28,9.48,58.62,707,0,1,11067.9,132067.67,3.07,444368.71,6.17,None listed,4,Weekly,Never,7,7,38,4,Moderate,7,9,7,6,No,Limited,No,0,3,1,Yes,Self-Help Resources,Financially At-Risk,37408.21,41.0,30-39,Medium,High,3-6 months
EMP-03917,34,Married,Diploma,Operations,Contract,Mid-Level,10,2,Tier 2,2,65109.22,116934.21,Rented,9141.31,8383.39,4360.22,4389.68,5069.23,5118.66,11112.23,48912.09,72726.86,62.19,0,1337.37,99082.5,1.14,14.19,792,0,0,38495.41,257801.71,6.82,1221469.13,8.0,Comprehensive,6,Occasionally,Weekly,2,5,31,5,Low,5,9,4,3,No,Unavailable,No,0,1,0,No,Digital Learning,Moderately Stable,68022.12000000001,58.17,30-39,High,Low,More than 6 months
EMP-01076,39,Married,Bachelor,Customer Support,Permanent,Mid-Level,15,10,Tier 1,1,78860.07,100734.04,Owned,8999.36,7911.23,4515.03,6304.51,5956.64,827.69,6910.83,44028.99,57321.9,56.9,0,2603.7,69599.3,2.58,19.6,715,0,1,18284.63,302059.9,8.14,926247.6,10.86,Basic,5,Occasionally,Monthly,4,6,9,6,Low,4,10,9,8,No,Limited,No,0,3,0,Yes,One-to-One Counseling,Financially Secure,56705.049999999996,56.29,30-39,Medium,Low,More than 6 months
EMP-03257,31,Single,Diploma,Operations,Permanent,Senior,10,2,Tier 1,1,71271.39,71271.39,Owned,13247.76,10091.28,4668.02,7438.87,3886.49,2712.44,6258.99,54949.84,15092.03,21.18,0,6645.99,297584.42,9.32,68.42,682,1,1,19887.81,46955.22,0.96,73476.54,12.86,Comprehensive,6,Monthly,Never,2,4,6,7,High,7,8,9,7,No,Available,No,2,3,1,Yes,One-to-One Counseling,Financially At-Risk,16321.550000000003,22.9,30-39,Low,Medium,Less than 1 month
EMP-02317,34,Married,Doctorate,Sales,Part-Time,Entry,8,3,Tier 2,0,45116.36,56433.95,Rented,15187.08,5686.57,900.0,5906.89,2795.58,0.0,3922.74,34398.86,16841.95,29.84,0,0.0,0.0,0.0,50.02,687,0,0,33476.64,134630.18,4.42,92291.5,5.6,Basic,4,Occasionally,Daily,4,5,12,9,Moderate,7,8,6,5,No,Limited,No,0,1,1,No,One-to-One Counseling,Financially At-Risk,22035.089999999997,39.05,30-39,Low,Low,3-6 months
EMP-00562,40,Single,Higher Secondary,Customer Support,Contract,Mid-Level,15,11,Tier 1,1,47595.99,62545.52,Owned,16681.93,10819.1,3759.43,7659.24,5797.64,4261.13,8300.28,66773.75,-4747.6,-7.59,1,9495.0,398104.01,15.18,60.82,670,1,3,13297.19,6542.31,0.11,3346.69,3.9,Comprehensive,4,Monthly,Rarely,3,5,17,9,Moderate,8,8,8,4,Yes,Limited,No,5,3,1,Yes,Digital Learning,Financially At-Risk,-4228.230000000003,-6.76,40-49,Low,High,Less than 1 month
EMP-05445,47,Married,Doctorate,Marketing,Permanent,Leadership,29,20,Tier 1,1,139373.78,158794.14,Owned,16318.74,10756.1,2972.69,5408.67,3051.96,1947.84,18290.87,69875.31,91203.25,57.43,2,11128.44,922162.22,7.01,20.87,803,0,0,39062.47,710485.57,13.77,570967.61,11.96,Comprehensive,6,Monthly,Daily,5,4,24,3,Low,8,9,7,6,No,Limited,No,0,4,1,Yes,Self-Help Resources,Financially Secure,88918.83000000002,56.0,40-49,High,High,More than 6 months
EMP-05104,36,Married,Master,Research and Development,Contract,Mid-Level,10,6,Tier 1,2,76638.67,130247.96,Owned,22462.37,13105.56,4817.05,3638.72,4644.87,6517.54,17547.34,80152.17,53634.8,41.18,0,7418.72,145945.32,5.7,74.63,633,0,0,28428.5,428981.12,6.85,387719.1,9.79,Comprehensive,4,Monthly,Never,6,9,31,6,High,7,7,5,6,No,Available,No,0,4,0,No,One-to-One Counseling,Moderately Stable,50095.79000000001,38.46,30-39,High,Medium,More than 6 months
EMP-03008,47,Married,Higher Secondary,Information Technology,Permanent,Leadership,29,18,Tier 1,2,111387.75,178713.98,Owned,17573.58,16230.72,5041.0,6131.2,4087.6,1988.1,17177.38,74384.08,103081.76,57.68,1,6154.5,383081.79,3.44,42.87,706,0,2,11870.96,1186017.41,20.73,754974.95,8.53,Basic,4,Monthly,Weekly,2,4,6,6,High,7,8,8,8,No,Limited,No,0,2,0,No,Digital Learning,Moderately Stable,104329.90000000001,58.38,40-49,High,Medium,More than 6 months
EMP-01116,38,Married,Diploma,Research and Development,Contract,Senior,15,1,Tier 2,2,76980.9,116781.31,Owned,19205.71,12167.73,4060.73,5197.89,4673.13,5423.06,17882.46,71939.04,51575.59,44.16,1,3328.33,110497.98,2.85,10.96,841,0,0,10544.87,611462.84,11.31,653776.44,1.6,Basic,5,Weekly,Monthly,2,5,32,8,Low,8,8,5,6,No,Unavailable,No,0,3,0,Yes,One-to-One Counseling,Moderately Stable,44842.270000000004,38.4,30-39,High,Low,More than 6 months
EMP-03909,28,Single,Master,Operations,Permanent,Junior,7,2,Tier 1,1,62917.35,67963.73,Rented,14210.12,11061.11,4961.68,3420.13,1999.66,4311.69,10946.17,50910.56,15332.57,22.56,0,0.0,0.0,0.0,51.99,727,0,3,37248.95,226507.27,5.67,188185.19,4.17,Comprehensive,4,Occasionally,Monthly,3,3,7,7,High,7,7,9,4,No,Unavailable,No,0,3,1,No,Group Workshop,Financially At-Risk,17053.17,25.09,21-29,Low,Low,3-6 months
EMP-02154,27,Single,Diploma,Sales,Permanent,Entry,2,2,Tier 1,0,40465.89,43480.83,Owned,10593.99,6494.0,3608.17,2044.71,4618.89,0.0,4488.67,31848.43,10367.6,23.84,1,0.0,24725.05,0.0,0.0,762,0,0,7677.53,139892.01,5.11,181742.38,7.11,None listed,5,Never,Rarely,4,4,15,6,Moderate,10,9,9,6,No,Unavailable,No,2,3,1,No,Self-Help Resources,Financially At-Risk,11632.400000000001,26.75,21-29,Low,Low,3-6 months
EMP-06224,44,Single,Bachelor,Operations,Part-Time,Senior,18,4,Tier 1,0,61727.2,65396.84,Owned,15387.13,5371.14,3885.87,5097.7,5783.87,0.0,7903.0,53414.58,12854.42,19.66,1,9985.87,836109.47,15.27,36.41,722,0,1,5843.66,60556.66,1.33,154664.73,10.82,Comprehensive,6,Monthly,Weekly,6,4,15,6,High,5,8,6,8,No,Available,No,2,2,1,Yes,One-to-One Counseling,Financially At-Risk,11982.259999999995,18.32,40-49,Low,High,1-3 months
EMP-05292,29,Married,Higher Secondary,Information Technology,Contract,Junior,5,2,Tier 2,2,42411.86,59371.01,Rented,8035.08,10919.11,4760.83,3788.41,5807.23,6512.56,1818.52,43632.39,16422.3,27.66,1,1990.65,178544.68,3.35,30.28,715,0,2,25639.54,175791.48,4.2,85792.82,10.57,Comprehensive,6,Weekly,Weekly,5,6,35,6,Low,8,8,4,7,No,Limited,No,0,1,1,No,Digital Learning,Moderately Stable,15738.620000000003,26.51,21-29,Low,Medium,3-6 months
EMP-03510,28,Single,Master,Sales,Permanent,Mid-Level,10,4,Tier 1,0,95303.51,104734.76,Rented,14539.08,8862.03,2544.17,6080.34,3624.32,0.0,13216.49,48866.43,53423.39,51.01,0,0.0,0.0,0.0,0.31,764,0,1,1956.16,638743.23,17.92,179342.59,7.61,Comprehensive,6,Weekly,Weekly,8,5,31,2,Moderate,8,10,9,9,No,Limited,No,0,3,1,Yes,One-to-One Counseling,Financially Secure,55868.329999999994,53.34,21-29,Medium,Low,More than 6 months
EMP-01288,37,Married,Diploma,Sales,Permanent,Senior,17,14,Tier 2,2,94702.72,132117.29,Rented,11617.29,12315.07,3090.33,5308.96,4743.04,6642.0,12540.0,61170.02,67302.76,50.94,1,4913.33,529741.58,3.72,0.0,780,0,0,29082.49,695349.99,14.3,1161323.78,13.08,Comprehensive,5,Monthly,Daily,3,2,15,8,Moderate,5,9,9,7,No,Available,No,0,2,1,No,Group Workshop,Financially Secure,70947.27000000002,53.7,30-39,High,High,More than 6 months
EMP-00246,25,Married,Diploma,Customer Support,Permanent,Entry,3,3,Tier 1,0,35508.79,52077.43,Rented,11190.48,8868.9,2854.36,5115.06,1127.64,0.0,2870.51,37216.99,16862.6,32.38,1,5190.04,222854.27,9.97,28.53,753,0,0,14464.97,174343.87,5.08,159264.53,11.44,Basic,6,Monthly,Rarely,5,4,18,5,Low,10,10,10,5,No,Available,Yes,1,2,0,No,Group Workshop,Moderately Stable,14860.440000000002,28.54,21-29,Low,Medium,3-6 months
EMP-01796,34,Married,Bachelor,Information Technology,Permanent,Junior,5,4,Tier 1,1,73283.38,116864.46,Rented,14158.48,11716.52,4811.64,3747.7,2235.43,3175.1,18859.46,59628.73,56670.28,48.49,0,924.4,51219.62,0.79,47.09,673,0,1,24884.08,185683.32,4.55,502886.17,5.06,Comprehensive,4,Occasionally,Weekly,4,1,0,6,Low,10,7,7,5,Yes,Limited,Yes,0,1,1,No,Self-Help Resources,Moderately Stable,57235.73,48.98,30-39,High,Low,3-6 months
EMP-05254,50,Single,Bachelor,Human Resources,Permanent,Leadership,30,16,Tier 3,2,102193.13,106595.9,Rented,8408.83,10444.94,2123.56,1770.08,4455.42,262.62,9442.75,43462.92,63588.92,59.65,1,6554.72,425837.55,6.15,34.32,709,0,1,14292.12,630459.5,18.53,210492.32,14.06,Basic,6,Never,Weekly,4,6,23,4,High,6,10,8,6,No,Limited,Yes,0,2,0,No,Digital Learning,Financially Secure,63132.979999999996,59.23,50-60,Medium,High,More than 6 months
EMP-03033,26,Married,Bachelor,Research and Development,Permanent,Entry,0,0,Tier 2,0,39297.01,74471.3,Company Provided,1655.15,8656.64,4255.32,5466.29,1333.86,0.0,10764.74,35751.22,42302.34,56.8,1,3619.22,298159.99,4.86,27.48,812,0,1,35059.21,396991.31,15.89,111097.84,10.24,Basic,6,Weekly,Monthly,3,6,33,3,Moderate,8,8,8,6,No,Limited,No,0,1,2,Yes,Digital Learning,Financially Secure,38720.08,51.99,21-29,Low,Medium,More than 6 months
EMP-02863,30,Married,Bachelor,Information Technology,Permanent,Junior,5,3,Tier 1,4,56350.43,70362.56,Rented,8247.69,15545.41,7070.15,3658.76,3750.84,8294.22,10866.72,61682.98,4286.36,6.09,1,4249.19,325290.59,6.04,55.82,720,0,1,28595.95,70021.4,1.38,22863.79,10.27,Basic,5,Occasionally,Monthly,5,6,15,6,Moderate,7,9,6,5,No,Available,No,1,2,0,No,Digital Learning,Financially At-Risk,8679.579999999994,12.34,30-39,Low,Medium,1-3 months
EMP-02674,41,Married,Higher Secondary,Sales,Contract,Mid-Level,14,7,Tier 1,2,70521.21,95598.27,Rented,12432.75,15055.11,4782.24,6333.11,3571.17,5594.57,11566.98,61065.63,32698.47,34.2,0,1729.7,121290.59,1.81,0.68,753,0,2,4367.76,190122.92,3.84,654162.88,10.04,Comprehensive,5,Weekly,Daily,2,5,37,7,Moderate,6,8,6,5,No,Available,No,0,3,1,No,One-to-One Counseling,Moderately Stable,34532.64000000001,36.12,40-49,Medium,Low,3-6 months
EMP-05988,33,Married,Bachelor,Operations,Permanent,Junior,8,3,Tier 1,2,66058.58,70246.79,Owned,19944.87,15879.21,4846.08,7909.03,4522.46,6240.87,8070.19,79786.32,-16726.12,-23.81,1,12373.61,970216.47,17.61,85.71,545,2,4,25624.03,49671.84,0.69,2235.13,7.7,Comprehensive,3,Monthly,Weekly,7,6,25,5,Moderate,10,6,8,8,No,Available,No,2,1,0,Yes,One-to-One Counseling,Financially At-Risk,-9539.530000000013,-13.58,30-39,Low,High,Less than 1 month
EMP-00178,38,Divorced,Higher Secondary,Customer Support,Permanent,Senior,16,11,Tier 1,0,70025.37,81481.63,Owned,15368.83,6719.57,4144.4,6330.81,3114.59,0.0,9228.62,47186.52,34803.08,42.71,0,2279.7,181646.51,2.8,15.74,715,0,2,10862.3,281508.73,7.42,347404.66,9.87,Basic,4,Weekly,Rarely,5,7,29,7,Low,2,10,9,5,No,Limited,No,0,2,1,No,Digital Learning,Financially Secure,34295.11000000001,42.09,30-39,Low,Medium,More than 6 months
